Cement	Slag	Fly ash	Water	SP	Coarse Aggr.	Fine Aggr.	SLUMP(cm)
273.0	82.0	105.0	210.0	9.0	904.0	680.0	23.0
163.0	149.0	191.0	180.0	12.0	843.0	746.0	0.0
162.0	148.0	191.0	179.0	16.0	840.0	743.0	1.0
162.0		190.0	179.0	19.0	838.0	741.0	3.0
	112.0			10.0	923.0	658.0	20.0
147.0	89.0	115.0	202.0	9.0	860.0	829.0	23.0
152.0	139.0	178.0	168.0	18.0	944.0	695.0	0.0
145.0	0.0	227.0	240.0	6.0	750.0	853.0	14.5
152.0	0.0	237.0	204.0	6.0	785.0	892.0	15.5
304.0	0.0	140.0	214.0	6.0	895.0	722.0	19.0
145.0	106.0	136.0	208.0	10.0	751.0	883.0	24.5
148.0	109.0	139.0	193.0	7.0	768.0	902.0	23.75
142.0	130.0	167.0	215.0	6.0	735.0	836.0	25.5
354.0	0.0	0.0	234.0	6.0	959.0	691.0	17.0
374.0	0.0		190.0	7.0	1013.0		14.5
159.0	116.0	149.0	175.0	15.0	953.0	720.0	23.5
153.0	0.0	239.0	200.0	6.0	1002.0	684.0	12.0
						766.0	25.0
310.0	0.0	143.0	168.0	10.0	914.0		20.5
296.0	97.0	0.0	219.0	9.0	932.0	685.0	15.0
	100.0	0.0			959.0		20.0
310.0	0.0	143.0	218.0	10.0	787.0	804.0	13.0
148.0	180.0	0.0	183.0	11.0	972.0	757.0	0.0
		0.0	192.0	11.0		749.0	18.0
142.0	130.0	167.0	174.0	11.0	883.0	785.0	0.0
140.0	128.0	164.0	183.0	12.0	871.0	775.0	23.75
308.0	111.0	142.0	217.0	10.0	783.0	686.0	25.0
295.0	106.0	136.0	208.0	6.0	871.0	650.0	26.5
298.0	107.0	137.0	201.0	6.0	878.0	655.0	16.0
314.0	0.0	161.0	207.0	6.0	851.0	757.0	21.5
321.0	0.0	164.0	190.0	5.0	870.0	774.0	24.0
	0.0						20.0
366.0	0.0	187.0	191.0	7.0	824.0	757.0	24.75
274.0	89.0				759.0	827.0	26.5
137.0	167.0	214.0	226.0	6.0	708.0	757.0	27.5
275.0	99.0	127.0	184.0	13.0	810.0	790.0	25.75
252.0	76.0	97.0	194.0	8.0	835.0	821.0	23.0
	150.0	0.0				729.0	14.5
158.0	0.0	246.0	174.0	7.0	1035.0	706.0	19.0
156.0							21.0
145.0	177.0	227.0	209.0	11.0	752.0	715.0	2.5
154.0	141.0	181.0	234.0	11.0	797.0	683.0	23.0
160.0		188.0	203.0	11.0	829.0		13.0
291.0	105.0	0.0	205.0	6.0	859.0	797.0	24.0
298.0	107.0	0.0	186.0	6.0	879.0	815.0	3.0
318.0	126.0	0.0	210.0	6.0	861.0	737.0	17.5
280.0	92.0	118.0	207.0	9.0	883.0	679.0	25.5
287.0	94.0	121.0	188.0	9.0	904.0	696.0	25.0
332.0	0.0	170.0	160.0	6.0	900.0	806.0	0.0
326.0	0.0						21.5
320.0	0.0	163.0	188.0	9.0	866.0	776.0	23.5
342.0	136.0	0.0	225.0	11.0	770.0	747.0	21.0
356.0	142.0	0.0	193.0	11.0	801.0	778.0	8.0
309.0					912.0		24.0
322.0	0.0	149.0	186.0	8.0	951.0	709.0	20.5
		0.0	208.0			818.0	23.0
	110.0			10.0		765.0	22.0
313.0	124.0	0.0	205.0	11.0	846.0	758.0	22.0
143.0	131.0	168.0	217.0	6.0	891.0	672.0	25.0
140.0		164.0			869.0		24.0
278.0	0.0	117.0	205.0	9.0	875.0	799.0	19.0
288.0			177.0	7.0		829.0	22.5
299.0	107.0	0.0	210.0	10.0	881.0	745.0	25.0
			231.0				23.0
				6.0		790.0	27.0
	0.0	248.0	175.0				21.0
160.0	0.0	250.0	168.0	12.0	1049.0	688.0	18.0
166.0			183.0				21.0
320.0	127.0	164.0	211.0	6.0	721.0	723.0	2.0
336.0	134.0	0.0	222.0	6.0	756.0	787.0	26.0
276.0	90.0	116.0	180.0	9.0	870.0	768.0	0.0
		0.0				789.0	23.0
322.0	116.0	0.0	196.0	10.0	818.0	813.0	25.5
		136.0		6.0		778.0	24.0
146.0	106.0		209.0	6.0		765.0	24.0
149.0							23.5
159.0		187.0	176.0		990.0		12.0
				9.0	864.0		23.0
			174.9			780.5	16.25
141.1	0.6	209.5	188.8	4.6	996.1	789.2	23.5
	4.2		193.9		1049.5		24.5
	11.8				1020.9		21.0
160.2	0.3	240.0	233.5	9.2	781.0	841.1	24.0
	30.5	239.0					21.25
	44.8			5.5			23.5
	61.1			5.7	1017.7		24.5
143.3	91.8	239.8					25.0
							26.5
			168.1	6.5	1000.2	667.2	9.5
150.3		238.8				670.5	14.5
155.4			179.9	6.7	966.8	652.5	14.5
		238.3		7.1	883.2		17.0
		239.8					25.0
172.0	162.1	238.5	166.0	7.4	953.3	641.4	0.0
172.8	158.3	239.5	166.4	7.4	952.6	644.1	0.0
184.3	153.4	239.2	179.0	7.5	920.2	640.9	0.0
215.6	112.9	239.0	198.7	7.4	884.0	649.1	27.5
295.3	0.0	239.9	236.2	8.3	780.3	722.9	25.0
248.3	101.0	239.1	168.9	7.7	954.2	640.6	0.0
248.0	101.0	239.9	169.1	7.7	949.9	644.1	2.0
258.8	88.0	239.6	175.3	7.6	938.9	646.0	0.0
			194.0				27.5
348.7	0.1	223.1	208.5	9.6	786.2	758.1	29.0
